,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,51.93,96,100,6.31,AR,1584241200
1,Butaritari,3.0707,172.7902,83.88,74,0,11.79,KI,1584241200
2,Praia,14.9215,-23.5087,71.62,79,0,11.5,CV,1584241200
3,Puerto del Rosario,28.5004,-13.8627,58.62,77,0,10.4,ES,1584241200
4,Avarua,-21.2078,-159.775,83.95,67,8,6.15,CK,1584241200
5,Bozeman,45.6796,-111.0386,15.39,92,100,1.79,US,1584241200
6,Tasiilaq,65.6145,-37.6368,-3.44,74,2,2.64,GL,1584241200
7,Lavrentiya,65.5833,-171.0,21.02,79,100,10.56,RU,1584241200
8,Hong Kong,22.2855,114.1577,73.58,47,42,3.38,HK,1584241200
9,Mataura,-46.1927,168.8643,69.42,61,100,1.39,NZ,1584241200
10,Hermanus,-34.4187,19.2345,65.68,78,100,15.64,ZA,1584241200
11,Lagoa,39.05,-27.9833,58.8,83,22,11.34,PT,1584241200
12,Necochea,-38.5473,-58.7368,61.32,72,0,12.44,AR,1584241200
13,Klaksvík,62.2266,-6.589,37.36,78,100,35.9,FO,1584241200
14,Carnarvon,-24.8667,113.6333,81.46,76,81,3.89,AU,1584241200
15,Nouadhibou,20.931,-17.0347,65.53,72,0,22.66,MR,1584241200
16,Paamiut,61.994,-49.6678,4.01,68,100,6.6,GL,1584241200
17,Rikitea,-23.1203,-134.9692,79.07,70,3,9.08,PF,1584241200
18,Rawson,-43.3002,-65.1023,60.96,65,0,7.63,AR,1584241200
19,Port Alfred,-33.5906,26.891,67.1,82,62,15.39,ZA,1584241200
20,Alice Springs,-23.7,133.8833,88.57,22,0,12.84,AU,1584241200
21,Punta Arenas,-53.15,-70.9167,55.2,82,99,24.74,CL,1584241200
22,Ribeira Grande,38.5167,-28.7,55.63,84,26,4.79,PT,1584241200
23,Babol,36.5513,52.679,54.07,62,83,5.7,IR,1584241200
24,Darnah,32.767,22.6367,62.94,69,94,11.01,LY,1584241200
25,Aracataca,10.5918,-74.1898,78.17,56,0,3.53,CO,1584241200
26,Saint-Augustin,51.226,-58.6502,16.57,82,1,13.87,CA,1584241200
27,São Filipe,14.8961,-24.4956,73.15,57,0,13.91,CV,1584241200
28,Aklavik,68.2191,-135.0107,23.41,77,100,2.98,CA,1584241200
29,Saskylakh,71.9167,114.0833,5.95,92,100,12.01,RU,1584241200
30,Khatanga,71.9667,102.5,27.61,96,100,13.22,RU,1584241200
31,Bluff,-46.6,168.3333,72.61,36,100,0.69,NZ,1584241200
32,Chapleau,47.8405,-83.4034,8.98,97,85,5.68,CA,1584241200
33,Hobart,-42.8794,147.3294,59.92,72,71,19.19,AU,1584241200
34,Leshukonskoye,64.8989,45.7622,5.67,95,0,5.28,RU,1584241200
35,Grindavik,63.8424,-22.4338,28.92,57,0,3.98,IS,1584241200
36,Marystown,47.1666,-55.1483,31.24,76,88,24.27,CA,1584241200
37,Shelopugino,51.6514,117.5599,24.55,55,0,5.66,RU,1584241200
38,Castro,-24.7911,-50.0119,61.39,92,0,4.52,BR,1584241200
39,Bengkulu,-3.8004,102.2655,88.72,57,100,0.67,ID,1584241200
40,Itoman,26.1247,127.6694,62.91,57,0,18.16,JP,1584241200
41,Praia da Vitória,38.7333,-27.0667,58.75,77,0,3.85,PT,1584241200
42,Russell,32.3502,-85.1999,68.59,70,98,3.87,US,1584241200
43,Samarai,-10.6167,150.6667,90.18,50,0,9.08,PG,1584241200
44,Bredasdorp,-34.5322,20.0403,64.2,78,100,9.33,ZA,1584241200
45,Albany,42.6001,-73.9662,33.21,77,100,8.3,US,1584241200
46,Inhambane,-23.865,35.3833,76.75,80,3,1.95,MZ,1584241200
47,Mmabatho,-25.85,25.6333,64.63,43,0,7.87,ZA,1584241200
48,Vaini,-21.2,-175.2,84.02,80,100,14.7,TO,1584241200
49,Tuktoyaktuk,69.4541,-133.0374,23.16,83,13,22.03,CA,1584241200
50,Mahébourg,-20.4081,57.7,76.19,83,76,7.81,MU,1584241200
51,Eureka,40.8021,-124.1637,38.34,93,95,4.41,US,1584241200
52,Ponta do Sol,32.6667,-17.1,61.2,65,0,7.87,PT,1584241200
53,Sivaki,52.6333,126.75,7.83,81,4,9.31,RU,1584241200
54,Radnevo,42.3,25.9333,43.81,90,100,9.31,BG,1584241200
55,Karpogory,64.0019,44.4451,6.6,94,28,5.37,RU,1584241200
56,Bentiu,9.2333,29.8333,73.29,24,74,4.5,SS,1584241200
57,Zhigansk,66.7697,123.3711,-3.84,94,100,23.09,RU,1584241200
58,Quatre Cocos,-20.2078,57.7625,78.73,81,0,13.38,MU,1584241200
59,Ancud,-41.8697,-73.8203,50.41,86,16,3.49,CL,1584241200
60,Sola,-13.8833,167.55,85.42,77,27,26.37,VU,1584241200
61,Pangnirtung,66.1451,-65.7125,-34.33,98,100,0.72,CA,1584241200
62,Loyga,61.0784,44.6075,9.77,95,0,4.59,RU,1584241200
63,Kruisfontein,-34.0033,24.7314,62.2,84,10,8.63,ZA,1584241200
64,Sørland,67.667,12.6934,36.54,68,90,15.46,NO,1584241200
65,Marfino,55.7028,37.3822,21.54,73,100,11.14,RU,1584241200
66,Rio Grande,-32.035,-52.0986,76.08,78,43,5.77,BR,1584241200
67,San Rafael,-34.6177,-68.3301,57.61,29,0,2.44,AR,1584241200
68,Severo-Kuril'sk,50.6789,156.125,21.76,80,100,9.4,RU,1584241200
69,Lebu,-37.6167,-73.65,53.38,76,0,8.03,CL,1584241200
70,Villacarrillo,38.1156,-3.0848,54.48,81,6,2.21,ES,1584241200
71,Port Augusta,-32.5,137.7667,78.4,26,68,10.69,AU,1584241200
